"avg_rating","creator","downloads","identifier","publisher","subject","title","year"
"","The Church Weekly","18","1957-TCW-Vol11-Issue9","","","1957 The Church Weekly Volume 11 Issue 9","1957"
"","The Church Weekly","15","1957-TCW-Vol11-Issue25","","","1957 The Church Weekly Volume 11 Issue 25","1957"
"","The Church Weekly","14","1957-TCW-Vol11-Issue29","","","1957 The Church Weekly Volume 11 Issue 29","1957"
"","Travancore Education Department","408","1944sreechithira0000trav","Travancore Education Department","Kerala Malayalam Text Books,Std 5,Sreechithra padavali","1944 - ശ്രീചിത്തിരതിരുനാൾ പാഠാവലി - അഞ്ചാംപാഠം","1944"
"","G. Shankarakurup","165","1948keralodayapa0000gsha","","Kerala Malayalam Text Books,Std 5","1948 - കേരളോദയ പാഠമാല - അഞ്ചാം‌പാഠം","1948"
"","Emil Lehnartz","4","physiologicalpat0000emil","Office Of Military Government For Germany Field Information Agencies Technical","CFTRI","Physiological And Patho;ogical Chemistry Including Nutrition","1947"
"","ಜೆಜ್ವಿತ್ ಸ್ವಾಮಿ ಸುಪ್ರಿಯ","16","mhonniomqoheletj0000jesu","","","ಮ್ಹಣ್ಣಿಯೊ, ಖೊಹೆಲೆತ್, ಜೊಬ್ ಆನಿ ಜಾಣ್ವಾಯೆಚಿಂ ಗ್ರಂಥಾಂ","1999"
"","","3","jaagapril0000unse","","","Jaag-April","1997"
"","","2","jaagjune0000unse","","","Jaag-June","1998"
"","VASU","5","judasankkurov0000vasu_n0i5","SALLAK PRAKASHAN","","JUDASANK KUROV",""
"","ಸ್ಟೇನ್ಲಿ ಆರ್. ಡಿ'ಕೋಸ್ತ","6","kanoondaiz0000stan_z0d1","Ashling Prakashan","","ಕಾನೂನ್ ದಾಯ್ಜ್","2009"
"","G.KAMALAMMAL","5","raghuramayan0000gkam_c0g1","P.G.KAMAT FOUNDATION","","RAGHURAMAYAN","2019"
"","ಕೊಂಕಣಿ ಭಾಷಾ ಮಂಡಳ ಕರ್ನಾಟಕ","19","konkanniquiz0000konk","Konkanni bhasha mandal karnataka","","ಕೊಂಕ್ಣಿ ಕ್ವಿಜ್ -೧ ೨೦೦೭","2007"
"","नीला तेलंग","14","kalzachibharthi0000neel","Hema pundalik naik","","काळजाची भरती","1988"
"","सं: पुंडलीक नारायण नायक","29","hruthu0000pund_g2r1","Narayan vadolkar","","ॠतु मे/जून १९८४","1984"
"","","3","j1620000unse","","","J 162","1934"
"","","2","jaagmarch19900000unse","","","JAAG MARCH 1990",""
"","","6","jaagnovember19900000unse","","","JAAG NOVEMBER 1990",""
"","Dr.Vasant Bandekar","9","jagojakonkaniman0000drva","Karnataka Konkani Sahitya Academy","","Jago Ja Konkani Mansha","2019"
"","SANJIV VERENKAR","28","dli.ASWASTH_SURYA","SANCHIT PRAKASHAN","World Konkani Centre","ASWASTH SURYA","2012"
"","","4","konkanitimesshik0000unse","","","KONKANI TIMES SHIKSHAK VISHESHANK 1991",""
"","","16","kaanana_Aug2013","ವೈಲ್ಡ್ ಲೈಫ್ ಕನ್ಸರ್ವೆಷನ್ ಗ್ರೂಪ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾನನ ಸಂಚಯ,Kaanana Magazine,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,Magazine","ಕಾನನ ಆಗಸ್ಟ್ 2013","2013"
"","","30","kaanana_Apr2018","ವೈಲ್ಡ್ ಲೈಫ್ ಕನ್ಸರ್ವೆಷನ್ ಗ್ರೂಪ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾನನ ಸಂಚಯ,Kaanana Magazine,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,Magazine","ಕಾನನ ಏಪ್ರಿಲ್ 2018","2018"
"","","19","kaanana_Dec2011","ವೈಲ್ಡ್ ಲೈಫ್ ಕನ್ಸರ್ವೆಷನ್ ಗ್ರೂಪ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾನನ ಸಂಚಯ,Kaanana Magazine,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,Magazine","ಕಾನನ ಡಿಸೆಂಬರ್ 2011","2011"
"","","13","kaanana_Jul2016","ವೈಲ್ಡ್ ಲೈಫ್ ಕನ್ಸರ್ವೆಷನ್ ಗ್ರೂಪ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾನನ ಸಂಚಯ,Kaanana Magazine,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,Magazine","ಕಾನನ ಜುಲೈ 2016","2016"
"","","29","kaanana_Mar2013","ವೈಲ್ಡ್ ಲೈಫ್ ಕನ್ಸರ್ವೆಷನ್ ಗ್ರೂಪ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾನನ ಸಂಚಯ,Kaanana Magazine,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,Magazine","ಕಾನನ ಮಾರ್ಚ್ 2013","2013"
"","DR.SOMANATH KOMARPANTH, DAMODHAR MAVJO","8","kathavali0000drso","INSTITUTE MINEZIS BRAGANDA","","KATHAVALI","2000"
"","","20","hosatuSeptember2012","ನವಕರ್ನಾಟಕ ಪಬ್ಲಿಕೇಷನ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಹೊಸತು ಸಂಚಯ,magazine","ಹೊಸತು ಸೆಪ್ಟೆಂಬರ್ ೨೦೧೨","2012"
"","","34","halchal0000unse_a1d9","Sindhi Sabha Western Railway","","Halchal",""
"","ଜଗନ୍ନାଥ ମହାନ୍ତି,Jagannatha Mohanty,Jaganātha Mohāntẏ","2","juge-juge-jogajoga-vol-2-1988","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","ଯୁଗେ ଯୁଗେ ଯୋଗାଯୋଗ ଭାଗ ୨","1988"
"","","20","kaanana_Feb2018","ವೈಲ್ಡ್ ಲೈಫ್ ಕನ್ಸರ್ವೆಷನ್ ಗ್ರೂಪ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾನನ ಸಂಚಯ,Kaanana Magazine,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,Magazine","ಕಾನನ ಫೆಭ್ರವರಿ 2018","2018"
