"avg_rating","creator","downloads","identifier","publisher","subject","title","year"
"","Kerala Sasthra Sahithya Parishad","44","1989parishathums0000kssp","Kerala Sasthra Sahithya Parishad","KSSP leaflets about Gender","1989 - പരിഷത്തും സ്ത്രീപ്രശ്നവും","1989"
"","","3","jaagjanuary20190000unse","","","JAAG JANUARY 2019",""
"","Kerala Sasthra Sahithya Parishad","39","1990jalajanyarog0000kssp","Kerala Sasthra Sahithya Parishad","KSSP leaflets,KSSP Health Books","1990 - ജലജന്യ രോഗങ്ങൾ","1990"
"","U.S.SHENOY","3","jaikonkaniseptem0000ussh","","","JAI KONKANI-SEPTEMBER-1994",""
"","ಕೆ. ಕೆ. ಶೆಟ್ಟಿ,ಕೆ. ಎಚ್. ಶೆಟ್ಟಿ","4","antaranga040p","","ಅಂತರಂಗ ಸಂಚಯ,ಸಾಪ್ತಾಹಿಕ ಪತ್ರಿಕೆ,ಪತ್ರಿಕೆ,Magazine,Weekly,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಅಂತರಂಗ - ಸಂಪುಟ ೧, ಸಂಚಿಕೆ ೧೬",""
"","F. M. Burnet","18","viruses0000fmbu","Academic Press","CFTRI","The Viruses","1959"
"","","21","unset0000unse_g5r4","","","Aabhsarika (Madame Bovary)",""
"","V. Narayanaswami And K. Biswas","35","unset0000unse_g8l7","Council Of Scientific & Industrial Research","CFTRI","Rose Growing Centres And Rose Industry In India","1957"
"","Tara Shankar Bannerjee","20","unset0000unse_h2f8","","","Raza Rab Ji (Keel Naseeb Jo!)",""
"","RAGHUNATH MANGESH DHUMA","5","vattajunchalchia0000ragh","RAGHUNATH MANGESH DHUME","","VATT AJUN CHALCHI ASA","2014"
"","A. J. Howard","18","unset0000unse_c6g5","J. & A. Churchill Ltd.","CFTRI","Canning Technology","1949"
"","","14","unset0000unse_d3v0","","","Ishwari Jotwani",""
"","ರಾಘವೇಂದ್ರ ಪಾಟೀಲ","16","unset0000unse_d5v7","ಸಂವಾದ ಪ್ರಕಾಶನ","ದ್ವಿಮಾಸಿಕ ಪತ್ರಿಕೆ,ಸಂವಾದ ಸಂಚಯ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸಂವಾದ 45","1997"
"","ಬಿ. ಆರ್. ವೆಂಕಟರಮಣ ಐತಾಳ್","9","unset0000unse_d9e3","ನೀನಾಸಂ ಹೆಗ್ಗೋಡು (ಸಾಗರ)","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ನೀನಾಸಂ ಮಾತುಕತೆ,Ninasam Mathukathe,ಸಂಪರ್ಕ ಪತ್ರ,ರಂಗಭೂಮಿ","ನೀನಾಸಂ ಮಾತುಕತೆ 64","2002"
"","i. G. N. Nagrani ii. Mohan Kalpana iii. Sundri Utamchandani, iv. Abdul Kareem Baloch, v. Jetu Lalwani, vi. Muhammad Yusif Panhwar","33","unset0000unse_l6b3","Nayeen Dunia Publication, Bombay","","Chha Sindhi Natak","1981"
"","Rai Bahadur Ramaprasad Chandra,Jalindra Kumar Majumdar","67","unset0000unse_m8d6","Calcutta Oriental Book Agency (Calcutta)","","Selection from Official Letters and Documents Relating to the Life of Raja Rammohun Roy, Vol. 1, 1791-1830","1938"
"","N. L. Parr","9","unset0000unse_n7m6","30, Russell Square, London, W.C.1","CFTRI","Zone Refining","1957"
"","","10","indianjournalofp0000unse_e1b9","Indian National Science Academy","","Indian Journal Of Pure & Applied Mathematics Vol - 20/3, March-1989","1989"
"","Surekha Totekar","7","mrudagandh0000sure","Rajhamsa Vitaran","","Mrudagandh","1993"
"","SUDHA V.LAWANDE","5","onvalam0000sudh","SANJANA PUBLICATIONS","","ONVALAM","2006"
"","","4","kulagarjune0000unse","","","Kulagar-June","1986"
"","ಸಂ: ಮೆಲ್ವಿನ್ ರೊಡ್ರಿಗಸ್","5","kupampondlimmukh0000melw","Kavita Publications","","ಕುಪಾಂ ಪೊಂದ್ಲಿಂ ಮುಖಾಂ","2003"
"","ವಿಲ್ಯಂ ಮಾಡ್ತಾ","12","konknnidaij0000pras_a7i0","Institute of konkani","","ಕೊಂಕ್ಣಿ ದಾಯ್ಜ್","1996"
"","ମୁଲକ ରାଜ ଆନନ୍ଦ,ମିତ୍ରା ଦାସ,ଜଗନ୍ନାଥ ପ୍ରସାଦ ଦାସ,Mulk Raj Anand,Mulk Rāj Ānand; Mitrā Dās, Jaganāth Prasād Dās,Mitra Das,Jagannath Prasad Das","0","kuli-1989","","ଉପନ୍ୟାସ,Novel,Odia Bibhaba","କୁଲି","1989"
"","ମମ୍ମଟ ଭଟ୍ଟ,ନାରାୟଣ ମହାପାତ୍ର,Narayana Mahapatra,Mammata Bhatta, Nārāẏaṇa Mahāpātra","0","kabya-prakasa-1964","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","କାବ୍ୟ ପ୍ରକାଶ","1964"
"","ଯତୀନ୍ଦ୍ର ମୋହନ ମହାନ୍ତି,Jatindra Mohan Mohanty,Ẏatindra Mohan Mohāntẏ","0","kabyatattwa-1976","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","କାବ୍ୟତତ୍ତ୍ୱ","1976"
"","","0","durgadei-kanda","","କବିତା,Poetry,Odia Bibhaba","ଦୁର୍ଗାଦେଈ କାନ୍ଦ",""
"","","0","dutiya-osa-ba-pua-jiuntia-osa","","ବ୍ରତକଥା,Religious observance,Odia Bibhaba","ଦୁତୀୟା ଓଷା ବା ପୁଅ ଜିଉନ୍ତିଆ ଓଷା",""
"","ବୋରିଲ ବେକର,ଗୋପାଳ ମିଶ୍ର,Gopala Mishra,Boril Baker, Gopāl̥a Miśra","0","jantrika-manaba","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","ଯାନ୍ତ୍ରିକ ମାନବ",""
"","ଉଦୟନାଥ ଷଡ଼ଙ୍ଗୀ,Udaya Natha Sadangi,Udaẏanāth Ṣaḍaṅgī","0","jalahasti-1967","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","ଜଳହସ୍ତୀ","1967"
"","ଦାମୋଦର ପରିଡ଼ା,Damodara Parida,Dāmodara Pariḍā","0","jbs-haldane-1992","","ଜୀବନୀ,Biography,Odia Bibhaba","ଜେ ବି ଏସ୍ ହାଲ୍‌ଡେନ","1992"
"","ରମେଶ ଧଳ,Ramesa Dhal,Rameśa Dhal̥","0","jharana-jhari-jhari-jae-1963","","ଗଳ୍ପ,Story,Odia Bibhaba","ଝରଣା ଝରି ଝରି ଯାଏ","1963"
"","କରୁଣାକର ମହାନ୍ତି,Karunakara Mohanty,Karuṇākara Mohāntẏ","0","joubana-sathi-1954","","ଉପନ୍ୟାସ,Novel,Odia Bibhaba","ଯୌବନ ସାଥି","1954"
"","ଲକ୍ଷ୍ମୀଧର ନାୟକ,Laxmidhara Naik,Lakṣmīdhara Nāik","0","gadanayaka-abhinandana-grantha-1971","","ସ୍ମରଣିକା,Souvenir,Odia Bibhaba","ଗଡ଼ନାୟକ ଅଭିନନ୍ଦନ ଗ୍ରନ୍ଥ","1971"
"","ଉମେଶ ଚନ୍ଦ୍ର ପାଣିଗ୍ରାହୀ,Umesh Chandra Panigrahi,Umeś Candra Pāṇigrāhī","0","gata-basanta-1952","","ଗଳ୍ପ,Story,Odia Bibhaba","ଗତ ବସନ୍ତ","1952"
"","ମେରିଲ୍ ଡେନିସନ୍,ବିଚିତ୍ରାନନ୍ଦ ମହାନ୍ତି,Bichitrananda Mohanty,Meril Denison, Bicitrānanda Mohāntẏ","0","gatira-itikatha-1988","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","ଗତିର ଇତିକଥା","1988"
"","ସତ୍ୟସୁନ୍ଦର ମିଶ୍ର,ରବିନାରାୟଣ ମହାପାତ୍ର,Rabinarayana Mahapatra,Satẏasundara Miśra, Rabinārāẏaṇa Mahāpȧtra,Satyasundara Misra","0","galpasri-1961-1969","","ଗଳ୍ପ,Story,Odia Bibhaba","ଗଳ୍ପଶ୍ରୀ","1969,1961"
"","ଗୋଲୋକ ବିହାରୀ ଧଳ,Goloka Bihari Dhal,Goloka Bihārī Dhal̥","0","gandhiji-o-bhasa-samasya-1969","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","ଗାନ୍ଧିଜୀ ଓ ଭାଷା ସମସ୍ୟା","1969"
"","କୃଷ୍ଣ ଚରଣ ସାହୁ,ଯତୀନ୍ଦ୍ର ମୋହନ ମହାନ୍ତି,Jatindra Mohan Mohanty,Kr̥ṣṇa Caraṇa Sāhu; Ẏatindra Mohan Mohāntẏ,Krusna Charana Sahu","0","krusnacharana-sahu-rachana-sambhara-vol-2-1999","","ଗ୍ରନ୍ଥାବଳୀ,Collected works,Odia Bibhaba","କୃଷ୍ଣଚରଣ ସାହୁ ରଚନା ସମ୍ଭାର ଭାଗ ୨","1999"
"","ନୀଳଲୋହିତ ସିଂହଦେବ,ଅଭୟ ଚରଣ ଚଲାନ,Abhaya Charana Chalan,Nīl̥alohita Siṁhadeb, Abhaẏa Caraṇa Chalāna,Nilalohita Singhdeb","0","khadiala-kusuma-vol-3-1983","","କବିତା,Poetry,Odia Bibhaba","ଖଡ଼ିଆଳ କୁସୁମ ଭାଗ ୩","1983"
"","John Preston Sutherland","11","malnutritionmedi0000john","Boston Meador Publishing Company","CFTRI","Malnutrition the Medical Octopus","1937"
"","","2","bimbfebruary20140000unse","","","BIMB FEBRUARY 2014",""
"","E. W. Mchenry","18","unset0000unse_k5z4","Pitman Medical Publishing","CFTRI","Basic Nutrition",""
"","ಸಂ: ವಿ. ಎಸ್. ಕುಡ್ವಾ","4","saraswatha350000unse","","","ಸಾರಸ್ವತ - ಮಾರ್ಚ್ 2, 1945",""
"","J.S.ALVARES","1","kavianirojmerry0000jsal","KONKANI GRANTHA PRAKASHAN","","KAVI ANI ROJMERRY","1956"
"","Mahesh Chandrakant Naik","8","actuallyiloveyou0000mahe","Aksharbrahma Prakashan","","Actually...I Love You","2006"
"","Irāmacāmi Piḷḷai","12","dli.rmrl.002106","Vittiyāratnākara Accukkūṭam","","Katirēcan̲pēril ān̲antakkaḷippu","1916"
"","","9","dli.rmrl.001764","","","dli.rmrl.001764",""
"","JEMY BAROKAS","7","hanvsomsarakvisa0000jemy","SALLAK PRAKASHAN","","HANV SOMSARAK VISARLO",""
"","STANE AGEIRA","8","sodnnam0000stan","PUNOV PRAKASHAN","","SODNNAM","1987"
"","KERALA KONKANI ACADEMY","5","spandanjan20200000kera","","","SPANDAN JAN 2020",""
"","ಶ್ರೀ ಬಳ್ಕೂರು ಸುಬ್ರಾಯ ಅಡಿಗ","12","sharabhinaseepay0000balk","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಶರಾಬಿನ ಪೀಪಾಯಿಗಳು ೩೫","1955"
"","Pandith, Devashikamani Alasingarachraya Virachitha","16","shrimadramayanav0000pand_s2l2","Venkateswara Publishers","","Shrimad Ramayanavu Kishkinda Kandavu Vol - 5","1985"
"","ಚನ್ನಪ್ಪ ಎರೇಸೀಮೆ; ಟಿ. ಆರ್. ಮಹಾದೇವಯ್ಯ","127","siddagangasree0000sric","ಹಳೆಯ ವಿದ್ಯಾರ್ಥಿಗಳ ಸಂಘ, ‍ಸಿದ್ಧಗಂಗಾಕ್ಷೇತ್ರ, ತುಮಕೂರು","ಜೀವನ ಚರಿತ್ರೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಸಿದ್ಧಗಂಗಾ ಶ್ರೀಗಳ ಜೀವನ ಚರಿತ್ರೆ,ಚನ್ನಪ್ಪ ಎರೇಸೀಮೆ ಸಂಚಯ","ಸಿದ್ಧಗಂಗಾಶ್ರೀ","1981"
"","ଭୁବନେଶ୍ୱର ମିଶ୍ର,Bhubaneswar Misra,Bhubaneshwara Mishra","4","sisu-mohana-volume-1-1932","","କବିତା,poetry","ଶିଶୁ ମୋହନ, ଭାଗ ୧","1932"
"","","5","sloka-ratnakara-1911","","ସାଧାରଣ ଜ୍ଞାନ,general knowledge","ଶ୍ଳୋକ ରତ୍ନାକରଃ","1911"
"","ಶ್ರೀ ಗೋಪಾಲಕೃಷ್ಣ ಭಟ್","34","parikshemathueth0000srig","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಪರೀಕ್ಷೆ ಮತ್ತು ಇತರ ಕಥೆಗಳು ೧೩೯","1957"
"","Sri Jagadis Chunder Bose","54","plantresponseasm0000srij","Longamans Green And Co. (London)","","Plant Response as a Means of Physiological Investigation","1906"
"","AMAR PUBLICATION","8","pintra0000amar","WILFY REBIMBUS","","PINTRA",""
"","ಶ್ರೀ ಕೆ ಎಲ್ ಎನ್ ಉಪಾಧ್ಯಾಯ","25","lokikanayalayaga0000srik","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಲೌಕಿಕ ನ್ಯಾಯಗಳು ೬೪","1955"
"","","6","konkantimesdiwal0000unse_n0a8","","","KONKAN TIMES DIWALI 1987",""
"","Konkani Bhasha Prachar Sabha","15","konkanimhanniyo0000konk","","","Konkani Mhanniyo",""
"","ಎಸ್. ನಾರಾಯಣ ಗವಳ್ಕರ್","20","konkanivalmikina0000snar","Karnataka Konkani Sahitya Academy","","ಕೊಂಕಣಿ ವಾಲ್ಮೀಕಿ ರಾಮಾಯಣ (ರಾಜಾಪುರ್ ಸಾರಸ್ವತ್ ಬೊಲೀಂತ್)","2016"
"","ಡಾ. ಕೃಷ್ಣಾನಂದ ಕಾಮತ್","27","konkannealikavik0000late","ಗೋವಾ ಕೊಂಕಣಿ ಅಕಾಡೆಮಿ","ಕೊಂಕಣಿ ಸಾಹಿತ್ಯ,ಕಾಮತ್ ಸಂಚಯ","ಕೊಂಕಣ್ಯಾಲಿ ಕಾವಿಕಲಾ","2007"
"","","6","madhya-odia-bijnana-patha-1902","","ପାଠ୍ୟପୁସ୍ତକ,textbook","ମଧ୍ୟ ଓଡ଼ିଆ ବିଜ୍ଞାନ ପାଠ","1902"
"","ଶିବ ପ୍ରସାଦ ଦାଶ,Siba Prasada Das,Shiba Prasada Das","5","madhya-bharata-itihasa-1947","","ପାଠ୍ୟପୁସ୍ତକ,textbook","ମଧ୍ୟ ଭାରତ ଇତିହାସ","1947"
"","ಡಾ. ಕೃಷ್ಣಾನಂದ ಕಾಮತ್","32","madhyapradeshadh0000drkr","ಪ್ರಿಯದರ್ಶಿನಿ ಪ್ರಕಾಶನ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾಮತ್ ಸಂಚಯ","ಮಧ್ಯಪ್ರದೇಶದ ಮಡಿಲಲ್ಲಿ","1993"
"","ಅಷ್ಟಾವಕ್ರ","20","madveavanthara100000unse","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಮದ್ವೆ ಅವಾಂತರ ೧೦೬","1956"
"","ಡಾ. ಕೃಷ್ಣಾನಂದ ಕಾಮತ್","29","madyapradeshadam0000drkr","ಪುಸ್ತಕಾಲಯ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾಮತ್ ಸಂಚಯ","ಮಧ್ಯಪ್ರದೇಶದ ಮಡಿಲಲ್ಲಿ","1993"
"","ହରିହର ରଥ,Harihara Rath","4","mahaprasthana-nataka-1909","","ନାଟକ,drama","ମହାପ୍ରସ୍ଥାନ ନାଟକ","1909"
"","ಶ್ರೀ ಅಮ್ಮೆಂಬಳ ಅನಂತಯ್ಯ ನಾವಡ","32","mahapurushabhaly0000amme","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಮಹಪುರುಷರ ಬಾಲ್ಯ ಸ್ಮೃತಿಗಳು ೧೯೫","1958"
"","ଦିବ୍ୟସିଂହ ପାଣିଗ୍ରାହୀ,Dibyasiṁha Panigrahi,Dibyasimha Panigrahi","2","tu-mo-ma-1944","","ଉପନ୍ୟାସ,novel","ତୁ ମୋ ମା","1944"
"","Taylor, Meadows, 1808-1876","280","tippoosultauntal0000tayl","Richard Bentley (London)","Tipu Sultan,Fath ʻAli,Nawab of Mysore,1753-1799,Sultans","Tippoo Sultaun : A Tale of the Mysore war","1840"
"","ମଧୁସୂଦନ ରାଓ,Madhusudan Rao","4","uchcha-sikhyaka-saruharuda-1912","","ସହାୟକ ପୁସ୍ତକ,manual","ଉଚ୍ଚ ଶିକ୍ଷକ ସୃହୃଦ","1912"
"","ಚನ್ನಪ್ಪ ಎರೇಸೀಮೆ","341","uddaneeshacharit0000srip","ಬೆಂಗಳೂರು ಚಿಕ್ಕಪೇಟೆ ಗೌರಮ್ಮ ವಿದ್ಯಾರ್ಥಿನಿಲಯ","ಜೀವನ ಚರಿತ್ರೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಚನ್ನಪ್ಪ ಎರೇಸೀಮೆ ಸಂಚಯ","ಉದ್ದಾನೇಶ ಚರಿತ್ರೆ","1993"
"","","4","united-orissa-1915","","ସାଧାରଣ ଜ୍ଞାନ,general knowledge","ଇଉନାଇଟେଡ ଓଡିଶା","1915"
"","N.Shivadas","5","pisant0000nshi","","","Pisant","1989"
"","STANRO","3","shirap0000stan","","","SHIRAP",""
"","Kausu Kalyani","11","shobdakshor0000kaus","","","Shobdakshor",""
"","ଲିଙ୍ଗରାଜ ମିଶ୍ର,Lingaraja Misra,Lingaraj Mishra","3","prabhabati-1927","","ଗଳ୍ପ,story","ପ୍ରଭାବତୀ","1927"
"","ಚಿಕ್ಕನಂಜೇಗೌಡ","40","ragavankakavya0000chik","","ಕನ್ನಡ ಸಾಹಿತ್ಯ,SSACC Sanchaya","ರಾಘವಾಂಕ ಕಾವ್ಯ","1970"
"","ଗୋପାଳ ଚନ୍ଦ୍ର ମିଶ୍ର,Gopala Chandra Misra,Gopala Chandra Mishra","3","rasmi-1950","","କବିତା,poetry","ରଶ୍ମି","1950"
"","mu kuladhai velu pillai","46","uromorishithiruv0000muku","","","uromorishi thiruvaimalardharundh ruliya paripasai300","1937"
"","","3","utkala-bhramanan-1916","","ଭ୍ରମଣ କାହାଣୀ,textbook","ଉତ୍କଳ ଭ୍ରମଣଂ","1916"
"","Nagesh Karamali","10","vamshakulacheden0000nage","Apurbai Prakashan","","Vamshakulache Dene",""
"","Sir C. V. Raman","4","universityofmyso0000sirc","","","University Of Mysore Convocation Address","1929"
"","","97","unset0000unse_b9a3","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ನವೆಂಬರ್ 1983","1983"
"","","67","unset0000unse_b6v9","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಜುಲೈ 1970","1970"
"","","82","unset0000unse_b6c2","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಫೆಬ್ರವರಿ 1969","1969"
"","ಎಂ. ಜಿ. ಬರವಣಿ","30","unset0000unse_b5s4","ಎಂ. ಜಿ. ಬರವಣಿ, ಯಕ್ಷಗಾನ ಕಲಾವಿದರು, ಗೋಕರ್ಣ","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸುಂದೋಪ ಸುಂದರ ಕಾಳಗ","1993"
"","ಬಿ. ಆರ್. ವೆಂಕಟರಮಣ ಐತಾಳ್","18","unset0000unse_b9t5","ನೀನಾಸಂ ಹೆಗ್ಗೋಡು (ಸಾಗರ)","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ನೀನಾಸಂ ಮಾತುಕತೆ,Ninasam Mathukathe,ಸಂಪರ್ಕ ಪತ್ರ,ರಂಗಭೂಮಿ","ನೀನಾಸಂ ಮಾತುಕತೆ 103","2012"
"","ಬಿ. ಎಚ್. ಮಲ್ಲಿಕಾರ್ಜುನ","38","unset0000unse_c7h5","ಕನ್ನಡ ಪುಸ್ತಕ ಪ್ರಾಧಿಕಾರ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಡಾ. ಆರ್. ವಿ. ಭಂಡಾರಿ ಸಂಚಯ,ವಿಠ್ಠಲ ಭಂಡಾರಿ ಸಂಚಯ","ಪ್ರೀತಿಯ ಕಾಳು","2011"
"","ಗಮಕಿ ಆರ್. ಶಂಕರ ನಾರಾಯಣ","69","unset0000unse_c6o1","ಸತ್ಯಶ್ರೀ ಪ್ರಕಾಶನ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಗಮಕ ಸಾಹಿತ್ಯ","ಭೀಮಸೇನ ವಿಜಯ","1998"
"","","60","unset0000unse_c4v3","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಜುಲೈ 1991","1991"
"","‌ಗೋಪಾಲಕೃಷ್ಣ ಅಡಿಗ","49","unset0000unse_k4n5","ಸಾಗರ ಮುದ್ರಣ","ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ಸಾಕ್ಷಿ ಸಂಚಯ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸಾಕ್ಷಿ ಸಂಚಿಕೆ 15","1972"
"","‌ಗೋಪಾಲಕೃಷ್ಣ ಅಡಿಗ","100","unset0000unse_l1q2","ಅಕ್ಷರ ಪ್ರಕಾಶನ","ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ಸಾಕ್ಷಿ ಸಂಚಯ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸಾಕ್ಷಿ ಸಂಚಿಕೆ 6","1973"
"","Samuel Taylor","38","unset0000unse_l6h7","","","Biographia Literaria","1906"
"","‌ಗೋಪಾಲಕೃಷ್ಣ ಅಡಿಗ","81","unset0000unse_l7c2","ಅಕ್ಷರ ಪ್ರಕಾಶನ","ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ಸಾಕ್ಷಿ ಸಂಚಯ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸಾಕ್ಷಿ ಸಂಚಿಕೆ 24","1974"
"","","313","unset0000unse_m1j9","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಆಗಸ್ಟ್ 1970","1970"
"","‌ಗೋಪಾಲಕೃಷ್ಣ ಅಡಿಗ","41","unset0000unse_m5g9","ಸಾಗರ ಮುದ್ರಣ","ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ಸಾಕ್ಷಿ ಸಂಚಯ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸಾಕ್ಷಿ ಸಂಚಿಕೆ 18","1972"
"","ಪಾ. ವೆಂ. ಆಚಾರ್ಯ","167","unset0000unse_m3i7","ಅಂಕಿತ ಪುಸ್ತಕ","‍ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಪಾ. ವೆಂ. ಸಾಹಿತ್ಯ ಸಂಚಯ","ಬ್ರಾಹ್ಮಣರೇನು ಮಾಡಬೇಕು?","2002"
"","Jean Brachet","14","unset0000unse_m4s4","Elsevier Publishing Company","CFTRI","The Biological Role Of Ribonucleic Acids","1959"
"","ಚನ್ನಪ್ಪ ಎರೇಸೀಮೆ","180","unset0000unse_m5w3","ಶ್ರೀಕಂಠೇಶ್ವರ ಪ್ರೆಸ್ ಮತ್ತು ಬುಕ್ ಡಿಪೋ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಚನ್ನಪ್ಪ ಎರೇಸೀಮೆ ಸಂಚಯ,ವಚನ ಸಾಹಿತ್ಯ","ಬಸವಣ್ಣ ಪಂಚಪುರುಷ","1967"
"","","75","unset0000unse_m9x0","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಆಗಸ್ಟ್ 1980","1980"
"","","133","unset0000unse_n0k4","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಜುಲೈ 1957","1957"
"","ಡಾ. ಶ್ರೀನಿವಾಸ ಹಾವನೂರ","60","unset0000unse_n6u8","ಕಾಂತಾವರ ಕನ್ನಡ ಸಂಘ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಹಾವನೂರು ಸಂಚಯ,ಪಾ. ವೆಂ. ಸಾಹಿತ್ಯ ಸಂಚಯ","ಪತ್ರಕರ್ತರ ಆಚಾರ್ಯ ಪಾ. ವೆಂ. ಆಚಾರ್ಯ","2008"
"","","29","unset0000unse_n6x7","ಪಾವಂಜೆ ಗುರುರಾವ್","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸೌಗಂಧಿಕಾಹರಣ ಮತ್ತೂ ಜಟಾಸುರವಧೆ","1953"
"","ಬಿ. ರಂಗನಾಥರಾವ್","41","unset0000unse_n2l5","ಸುಭೋಧ ಪ್ರಕಟಣಾಲಯ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ವಾರಪತ್ರಿಕೆ,ನಗುವ-ನಂದ ಸಂಚಯ,Naguva-Nanda","ನಗುವ-ನಂದ ಸೆಪ್ಟೆಂಬರ್ 1954","1954"
